"condition","InCS","cog_load_CS_num","NFC","reason_always","changed","gender","Ju1_bin","Ju2_bin","right_change","study","right_right"
"control","It's wrong and I can provide a valid reason.",NA,-0.388888888888889,"reason","not_changed","Male","wrong","wrong","reasons","study_3",FALSE
"control","It's wrong and I can provide a valid reason.",NA,1.11111111111111,"reason","not_changed","Female","wrong","wrong","reasons","study_3",FALSE
"control","It's wrong and I can provide a valid reason.",NA,0.833333333333333,"reason","not_changed","Female","wrong","wrong","reasons","study_3",FALSE
"control","It's wrong and I can provide a valid reason.",NA,0.0555555555555554,"reason","not_changed","Female","wrong","wrong","reasons","study_3",FALSE
"control","It's wrong and I can provide a valid reason.",NA,0.555555555555555,"reason","not_changed","Female","wrong","wrong","reasons","study_3",FALSE
"control","It's wrong and I can provide a valid reason.",NA,0.555555555555555,"reason","not_changed","Male","wrong","wrong","reasons","study_3",FALSE
"control","It's wrong and I can provide a valid reason.",NA,1.77777777777778,"reason","not_changed","Male","wrong","wrong","reasons","study_3",FALSE
"control","It's wrong and I can provide a valid reason.",NA,-2.66666666666667,"not_always_reason","not_changed","Female","wrong","wrong","reasons","study_3",FALSE
"control","It's wrong and I can provide a valid reason.",NA,-4,"reason","not_changed","Female","wrong","wrong","reasons","study_3",FALSE
"control","It's wrong and I can provide a valid reason.",NA,3.44444444444444,"reason","not_changed","Female","wrong","wrong","reasons","study_3",FALSE
"control","It's wrong and I can provide a valid reason.",NA,2.11111111111111,"reason","not_changed","Female","wrong","wrong","reasons","study_3",FALSE
"control","It's wrong and I can provide a valid reason.",NA,NA,"reason","not_changed","Female","wrong","wrong","reasons","study_3",FALSE
"control","It's wrong and I can provide a valid reason.",NA,0.833333333333333,"not_always_reason","not_changed","Female","wrong","wrong","reasons","study_3",FALSE
"control","It's wrong and I can provide a valid reason.",NA,0.222222222222222,"reason","not_changed","Male","wrong","wrong","reasons","study_3",FALSE
"control","It's wrong and I can provide a valid reason.",NA,3.72222222222222,"reason","not_changed","Male","wrong","wrong","reasons","study_3",FALSE
"control","It's wrong and I can provide a valid reason.",NA,1.61111111111111,"reason","not_changed","Male","wrong","wrong","reasons","study_3",FALSE
"control","It's wrong and I can provide a valid reason.",NA,2.61111111111111,"not_always_reason","not_changed","Female","wrong","wrong","reasons","study_3",FALSE
"control","It's wrong and I can provide a valid reason.",NA,0.222222222222222,"reason","not_changed","Male","wrong","wrong","reasons","study_3",FALSE
"control","It's wrong and I can provide a valid reason.",NA,-1.05555555555556,"reason","not_changed","Male","wrong","wrong","reasons","study_3",FALSE
"control","It's wrong and I can provide a valid reason.",NA,1.33333333333333,"reason","not_changed","Female","wrong","wrong","reasons","study_3",FALSE
"control","It's wrong and I can provide a valid reason.",NA,1.83333333333333,"reason","not_changed","Male","wrong","wrong","reasons","study_3",FALSE
"control","It's wrong and I can provide a valid reason.",NA,-4,"not_always_reason","not_changed","Female","wrong","wrong","reasons","study_3",FALSE
"control","It's wrong and I can provide a valid reason.",NA,0.777777777777778,"reason","not_changed","Female","wrong","wrong","reasons","study_3",FALSE
"cog_load","There is nothing wrong.",9,1.33333333333333,"reason","not_changed","Male","right","right","right initially","study_4",TRUE
"cog_load","There is nothing wrong.",9,0,"reason","not_changed","Male","right","right","right initially","study_4",TRUE
"cog_load","There is nothing wrong.",9,2.16666666666667,"reason","not_changed","Male","neutral","neutral","nothing wrong","study_4",FALSE
"cog_load","There is nothing wrong.",9,1.44444444444444,"reason","not_changed","Male","neutral","neutral","nothing wrong","study_4",FALSE
"cog_load","There is nothing wrong.",9,-0.333333333333333,"not_always_reason","not_changed","Male","right","right","right initially","study_4",TRUE
"cog_load","There is nothing wrong.",9,1.05555555555556,"not_always_reason","not_changed","Female","neutral","neutral","nothing wrong","study_4",FALSE
"cog_load","There is nothing wrong.",9,1.61111111111111,"not_always_reason","not_changed","Male","neutral","neutral","nothing wrong","study_4",FALSE
"cog_load","It's wrong but I can't think of a reason.",9,0.388888888888889,"reason","not_changed","Male","wrong","wrong","dumbfounded","study_4",FALSE
"cog_load","It's wrong and I can provide a valid reason.",9,0.0555555555555554,"reason","not_changed","Female","wrong","wrong","reasons","study_4",FALSE
"cog_load","There is nothing wrong.",9,-0.333333333333333,"reason","changed","Female","wrong","neutral","nothing wrong","study_4",FALSE
"cog_load","There is nothing wrong.",9,0.555555555555555,"not_always_reason","changed","Female","wrong","neutral","nothing wrong","study_4",FALSE
"cog_load","There is nothing wrong.",9,0.277777777777778,"not_always_reason","changed","Male","wrong","neutral","nothing wrong","study_4",FALSE
"cog_load","It's wrong but I can't think of a reason.",9,0.111111111111111,"reason","not_changed","Female","wrong","wrong","dumbfounded","study_4",FALSE
"cog_load","It's wrong but I can't think of a reason.",9,-0.111111111111111,"not_always_reason","not_changed","Male","wrong","wrong","dumbfounded","study_4",FALSE
"cog_load","It's wrong but I can't think of a reason.",9,-0.277777777777778,"not_always_reason","not_changed","Female","wrong","wrong","dumbfounded","study_4",FALSE
"cog_load","It's wrong and I can provide a valid reason.",9,1.38888888888889,"reason","not_changed","Female","wrong","wrong","reasons","study_4",FALSE
"cog_load","It's wrong and I can provide a valid reason.",9,1.27777777777778,"not_always_reason","not_changed","Female","wrong","wrong","reasons","study_4",FALSE
"cog_load","It's wrong but I can't think of a reason.",9,-1.72222222222222,"not_always_reason","not_changed","Female","wrong","wrong","dumbfounded","study_4",FALSE
"cog_load","It's wrong but I can't think of a reason.",9,2.61111111111111,"reason","not_changed","Female","wrong","wrong","dumbfounded","study_4",FALSE
"cog_load","It's wrong and I can provide a valid reason.",7,1.27777777777778,"reason","not_changed","Female","wrong","wrong","reasons","study_4",FALSE
"cog_load","It's wrong and I can provide a valid reason.",9,0.0555555555555554,"reason","not_changed","Female","wrong","wrong","reasons","study_4",FALSE
"cog_load","It's wrong and I can provide a valid reason.",9,3.5,"reason","not_changed","Female","wrong","wrong","reasons","study_4",FALSE
"cog_load","It's wrong and I can provide a valid reason.",9,0.444444444444445,"reason","not_changed","Female","wrong","wrong","reasons","study_4",FALSE
"cog_load","It's wrong and I can provide a valid reason.",8,-2.72222222222222,"reason","not_changed","Female","wrong","wrong","reasons","study_4",FALSE
"cog_load","It's wrong and I can provide a valid reason.",9,2.05555555555556,"reason","not_changed","Male","wrong","wrong","reasons","study_4",FALSE
"cog_load","It's wrong and I can provide a valid reason.",9,2.77777777777778,"reason","not_changed","Female","wrong","wrong","reasons","study_4",FALSE
